NAME	DESCRIPTION	X5p4_25c	X5p4_27c	X5p4_28c	X5p4_29c	X5p4_30c	X5p4_31cfoxc1	X5p4_32cfoxc1	X5p4_33cfoxc1	X5p4_34cfoxc1	X5p4_35cfoxc1
ENSG00000005884	ITGA3	13.5746946148479	13.5550373609523	13.4587510960309	13.6767035695269	13.6354125148174	13.5541524949008	13.4495203038742	13.3323227949358	13.5274775175523	13.7819954616073
ENSG00000005889	ZFX	7.22469924637898	7.03503100329233	7.33788384185133	7.52151269623007	7.29105439456277	7.38714770351915	7.37697756487655	7.20636440404366	6.88859472806051	6.99138991936995
ENSG00000005893	LAMP2	10.9780452519447	10.9849540000173	11.2238871462012	10.9621752432881	11.018212692096	11.0167007570728	11.0834103412883	11.1937717819333	10.9846782991588	10.8235261358167
ENSG00000005981	ASB4	1.93394765590505	0	2.04686317874345	1.65529161306394	2.68728292178734	0.93680232286487	0.935712521461321	1.50846663948627	1.62266338728232	0
ENSG00000006007	GDE1	9.38710264305271	9.25322017880544	10.227005891803	10.0684886287145	9.97200178502788	9.29507208329273	9.3177719127617	9.27832207315117	9.49073678870324	9.54431188988234
ENSG00000006015	REX1BD	7.07175202197688	6.91614373283242	6.56927795530045	6.05682171990294	6.36832977327296	6.5862420681834	6.72759429351346	6.70492997863934	7.0891904669558	7.26663458456998
ENSG00000006016	CRLF1	3.09130179695563	1.93706669803216	2.04686317874345	3.41608420583457	3.81335855772474	2.219438806154	0.935712521461321	2.48869167905425	2.04234497190926	2.66654829007239
ENSG00000006025	OSBPL7	5.81965620729276	5.3437517560555	4.30687421616245	4.42113919349763	4.11461491825576	6.10132997130785	5.82484273876102	5.81640124147993	3.63655103410191	4.4145764126348
ENSG00000006042	TMEM98	5.9570211639446	6.06643654602996	7.13851687354395	7.20154623689632	7.05172021160713	5.62809909313224	5.91490608559871	5.86288086897407	7.13259553042053	7.17348157140761
ENSG00000006047	YBX2	0	0.958350958458163	0	1.05306563091154	1.66739116490218	0.93680232286487	2.47616794707162	1.50846663948627	0	0
ENSG00000006059	KRT33A	0	0	2.04686317874345	1.65529161306394	2.91249476523008	0.93680232286487	0	0	0	1.65059606252303
ENSG00000006062	MAP3K14	5.30573610014966	5.77494500610643	5.34599353066615	5.2306551285576	5.82013094134359	5.98119235819155	5.65228847159443	5.3127585747094	5.09891140909975	5.52143709379113
ENSG00000006118	TMEM132A	9.21744694669238	9.2033153925228	9.80354787481587	10.0871426289202	9.84461078346776	9.26322761144968	8.95082938809099	8.96871085372457	10.1356220504716	10.3640736740993
ENSG00000006125	AP2B1	11.0145700610242	10.772714124808	10.2666715464382	10.2152931712941	10.1511169656046	10.9832095199491	10.9012264827665	10.7007301636095	10.1462500601328	10.3826903320763
ENSG00000006194	ZNF263	8.1307163322631	8.21951995521703	7.70570395249505	7.81112628669167	7.97318439864801	7.83125396936183	7.95639542269882	8.03385299252811	8.32279580645344	8.33545650446906
ENSG00000006210	CX3CL1	4.23773882039385	3.5076632158359	4.96701338480884	4.95875728846319	4.50868017605963	4.96214456571755	4.12358609040818	3.69966122122737	4.44587903749696	4.8487597698097
ENSG00000006282	SPATA20	7.99372745329379	7.89880137301789	6.76200663028295	7.01030069599773	7.03983818499413	8.14726958740468	7.70823143463772	7.87850780366736	7.44817756034875	7.66672354906802
ENSG00000006327	TNFRSF12A	10.8331287663938	10.750772291195	10.9802383686844	11.0935934658821	11.1379970143473	10.6290102289039	10.5005994146617	10.2402237608426	11.3129640644668	11.3104281165015
ENSG00000006432	MAP3K9	7.46631636068266	7.30829927693673	9.92006739751867	9.75517503353635	9.78535555460351	7.4028213391858	7.22681796038313	7.15125233209568	8.26545537685935	8.45902112916278
ENSG00000006451	RALA	10.3920949041981	10.3417917455101	10.5246111149484	10.3099565255075	10.4471559520278	10.0753946888161	10.4431100580857	10.3204783329818	10.5855814673187	10.5088054160186
ENSG00000006453	BAIAP2L1	9.65953993632523	9.60381955542205	9.16795005689378	9.12642283033476	9.18511814137682	9.72104229643279	9.45168856446584	9.53667483975392	9.44412323135232	9.52976919749829
ENSG00000006459	KDM7A	8.41531855158844	8.36279638661245	9.42180892229981	8.95577977486737	9.03159160289289	8.5112928183475	8.4981306564471	8.47270863875789	8.86342010691289	8.68957665913024
ENSG00000006468	ETV1	1.52640042947981	0	2.3718620181941	1.65529161306394	2.42029204535464	0	0	1.50846663948627	1.62266338728232	1.65059606252303
ENSG00000006530	AGK	7.1213124323504	7.42373664451236	6.96853552728433	6.9860389364707	6.77899492978786	7.34720204760495	7.38487862892739	7.12288615021388	7.06698819687063	7.06239443786857
ENSG00000006534	ALDH3B1	4.55875405581719	4.50404925629609	4.58306660588463	4.26857530862525	4.57604842615801	4.12573795240331	3.68558772955514	4.41249864982322	4.57735215935748	4.55250923184763
ENSG00000006555	TTC22	8.1161220794839	8.23766385866776	6.71976101372974	7.13690351527329	6.77899492978786	8.20651798086446	7.96168786781194	8.29342657389273	7.64835967407892	7.91712586220679
